[2026-03-09 02:32:33] IP: 127.0.0.1 | OS: Windows | {'lat': 59.405384, 'lon': 24.692348, 'acc': 34}
[2026-03-09 02:33:28] IP: 127.0.0.1 | OS: Windows | {'lat': 59.40547974283759, 'lon': 24.692376389860218, 'acc': 97}
[2026-03-09 22:55:03] IP: 127.0.0.1 | OS: Windows | {'lat': 59.40547846630764, 'lon': 24.692372450005326, 'acc': 97}
[2026-03-09 22:58:28] IP: 127.0.0.1 | OS: Windows | {'lat': 59.40548502586543, 'lon': 24.692393423315988, 'acc': 102}
[2026-03-09 22:59:04] IP: 127.0.0.1 | OS: Windows | {'lat': 59.40547846630764, 'lon': 24.692372450005326, 'acc': 97}
[2026-03-09 23:10:51] IP: 127.0.0.1 | OS: Windows | {'error': 'Only secure origins are allowed (see: https://goo.gl/Y0ZkNV).'}
[2026-03-09 23:11:11] IP: 127.0.0.1 | OS: Windows | {'error': 'Only secure origins are allowed (see: https://goo.gl/Y0ZkNV).'}
[2026-03-09 23:11:52] IP: 127.0.0.1 | OS: Windows | {'error': 'Only secure origins are allowed (see: https://goo.gl/Y0ZkNV).'}
[2026-03-09 23:12:48] IP: 127.0.0.1 | OS: Windows | {'lat': 59.40546769138452, 'lon': 24.692376724374192, 'acc': 97}
[2026-03-09 23:17:48] IP: 127.0.0.1 | OS: Windows | {'lat': 59.40546895941707, 'lon': 24.69236859916536, 'acc': 97}
[2026-03-09 23:21:40] IP: 127.0.0.1 | OS: Android | {'lat': 59.4055103, 'lon': 24.6929679, 'acc': 100}
[2026-03-09 23:22:10] IP: 127.0.0.1 | OS: Android | {'lat': 59.4055103, 'lon': 24.6929679, 'acc': 100}
[2026-03-10 01:11:26] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054741, 'lon': 24.6928579, 'acc': 13.168000221252441}
[2026-03-10 01:17:10] IP: 127.0.0.1 | OS: Windows | {'lat': 59.40548386494283, 'lon': 24.69237312385942, 'acc': 97}
[2026-03-10 01:24:49] IP: 127.0.0.1 | OS: Android | {'lat': 59.4055223, 'lon': 24.6928617, 'acc': 13.307000160217285}
[2026-03-10 01:24:50] IP: 127.0.0.1 | OS: Android | {'error': 'User denied Geolocation'}
[2026-03-10 01:25:45] IP: 127.0.0.1 | OS: Android | {'lat': 59.4055223, 'lon': 24.6928617, 'acc': 96.31019592285156}
[2026-03-10 01:28:17] IP: 127.0.0.1 | OS: Windows | {'lat': 59.40546800415239, 'lon': 24.69237753783078, 'acc': 97}
[2026-03-10 01:28:35] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054956, 'lon': 24.6928588, 'acc': 13.015000343322754}
[2026-03-10 02:28:49] IP: 127.0.0.1 | OS: Android | {'error': 'User denied Geolocation'}
[2026-03-10 02:28:51] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054722, 'lon': 24.6928325, 'acc': 13.579000473022461}
[2026-03-10 02:33:46] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054627, 'lon': 24.6928183, 'acc': 23.600000381469727}
[2026-03-10 02:40:22] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054627, 'lon': 24.6928183, 'acc': 100}
[2026-03-10 02:46:53] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054996, 'lon': 24.6928421, 'acc': 15.763999938964844}
[2026-03-10 02:46:57] IP: 127.0.0.1 | OS: Android | {'error': 'User denied Geolocation'}
[2026-03-10 02:48:28] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054808, 'lon': 24.6928726, 'acc': 100}
[2026-03-10 02:49:56] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054728, 'lon': 24.6928525, 'acc': 13.91100025177002}
[2026-03-10 02:50:02] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054794, 'lon': 24.6928695, 'acc': 13.10200023651123}
[2026-03-10 02:52:08] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054822, 'lon': 24.692863, 'acc': 12.895000457763672}
[2026-03-10 02:54:28] IP: 127.0.0.1 | OS: Android | {'lat': 59.4055062, 'lon': 24.6928866, 'acc': 15.435999870300293}
[2026-03-10 02:55:49] IP: 127.0.0.1 | OS: Android | {'lat': 59.4055062, 'lon': 24.6928866, 'acc': 100}
[2026-03-10 03:02:29] IP: 127.0.0.1 | OS: Android | {'lat': 59.4055023, 'lon': 24.6930115, 'acc': 97.29020690917969}
[2026-03-10 03:08:15] IP: 127.0.0.1 | OS: Android | {'lat': 59.4055274, 'lon': 24.692886, 'acc': 12.720000267028809}
[2026-03-10 03:30:03] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054715, 'lon': 24.6928406, 'acc': 100}
[2026-03-10 03:31:35] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054805, 'lon': 24.6928672, 'acc': 100}
[2026-03-10 03:43:05] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054967, 'lon': 24.6928667, 'acc': 100}
[2026-03-10 03:43:34] IP: 127.0.0.1 | OS: Android | {'error': 'User denied Geolocation'}
[2026-03-10 03:43:35] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054967, 'lon': 24.6928667, 'acc': 100}
[2026-03-10 03:45:16] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054967, 'lon': 24.6928667, 'acc': 100}
[2026-03-10 04:14:08] IP: 127.0.0.1 | OS: Android | {'lat': 59.4054967, 'lon': 24.6928667, 'acc': 100}
[2026-03-10 07:19:46] IP: 127.0.0.1 | OS: Android | {'lat': 59.4063789, 'lon': 24.6951554, 'acc': 3.5889999866485596}
[2026-03-10 07:22:08] IP: 127.0.0.1 | OS: Android | {'lat': 59.4046277, 'lon': 24.7020868, 'acc': 4.000999927520752}
[2026-03-10 07:22:18] IP: 127.0.0.1 | OS: Android | {'lat': 59.4041297, 'lon': 24.7037876, 'acc': 4.031000137329102}
[2026-03-10 08:32:29] IP: 127.0.0.1 | OS: Android | {'lat': 59.4055941, 'lon': 24.6925644, 'acc': 100}
[2026-03-10 08:32:31] IP: 127.0.0.1 | OS: Android | {'error': 'User denied Geolocation'}
[2026-03-10 08:38:23] IP: 127.0.0.1 | OS: Android | {'lat': 59.4055019, 'lon': 24.6929469, 'acc': 13.763999938964844}
[2026-03-13 09:41:11] IP: 127.0.0.1 | OS: Windows | {'lat': 59.438229, 'lon': 24.745249, 'acc': 61}
[2026-03-13 10:29:57] IP: 127.0.0.1 | OS: Android | {'error': 'User denied Geolocation'}
[2026-03-13 10:31:21] IP: 127.0.0.1 | OS: Android | {'lat': 59.4383476, 'lon': 24.7448184, 'acc': 20}
[2026-03-13 10:31:21] IP: 127.0.0.1 | OS: Android | {'lat': 59.4383476, 'lon': 24.7448184, 'acc': 20}
[2026-03-13 10:42:50] IP: 127.0.0.1 | OS: Android | {'error': 'User denied Geolocation'}
