[2026-03-09 02:32:19] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-09 02:32:25] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-09 02:33:25] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-09 02:33:28] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-09 22:47:38] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-09 22:47:42] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-09 22:47:55] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-09 22:47:55] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-09 22:47:58] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-09 22:47:58] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-09 22:51:26] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-09 22:51:28] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-09 23:17:38] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-09 23:17:43] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-09 23:21:39] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-09 23:21:39] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Permission denied'}
[2026-03-09 23:21:48] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-09 23:21:48] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Permission denied'}
[2026-03-09 23:22:09] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-09 23:22:12] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 01:11:24] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 01:11:28] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 01:17:01] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-10 01:17:06] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-10 01:24:44] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 01:24:49] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 01:24:50] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 01:25:45] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 01:25:47] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 01:28:12] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-10 01:28:16] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-10 01:28:34] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 01:28:36] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:28:46] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:28:48] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:28:50] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Requested device not found'}
[2026-03-10 02:28:50] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:33:45] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:33:46] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:33:47] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:35:58] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:35:59] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:36:00] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:36:02] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Requested device not found'}
[2026-03-10 02:40:22] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:40:23] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:40:36] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:40:38] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:46:52] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:46:54] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:46:55] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:46:56] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:46:57] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:46:58] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Requested device not found'}
[2026-03-10 02:48:28] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:48:29] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:48:30] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:48:32] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:48:33] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:48:35] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:48:36] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:48:37] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 02:49:55] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 02:49:56] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
